"UTC";"Period";"Wind parks production";"Wind parks production forecast - BRPs";"Wind parks production forecast - system operator"
"1690840800";"01.08.2023 01:00";"25";"22,3";"26,641"
"1690844400";"01.08.2023 02:00";"30,8";"22";"32,561"
"1690848000";"01.08.2023 03:00";"39,5";"29,8";"29,049"
"1690851600";"01.08.2023 04:00";"45,2";"32,8";"39,533"
"1690855200";"01.08.2023 05:00";"44,5";"38,6";"38,357"
"1690858800";"01.08.2023 06:00";"51,5";"42,8";"49,956"
"1690862400";"01.08.2023 07:00";"50,2";"51,2";"60,313"
"1690866000";"01.08.2023 08:00";"60,4";"61,2";"78,611"
"1690869600";"01.08.2023 09:00";"95,9";"76,8";"100,801"
"1690873200";"01.08.2023 10:00";"131,2";"85,2";"98,285"
"1690876800";"01.08.2023 11:00";"155,5";"109,5";"111,638"
"1690880400";"01.08.2023 12:00";"162,2";"122";"99,696"
"1690884000";"01.08.2023 13:00";"152,1";"125,5";"96,933"
"1690887600";"01.08.2023 14:00";"157,1";"117";"118,678"
"1690891200";"01.08.2023 15:00";"147,3";"116,9";"106,063"
"1690894800";"01.08.2023 16:00";"157,4";"105,2";"99,065"
"1690898400";"01.08.2023 17:00";"155,2";"100,1";"85,302"
"1690902000";"01.08.2023 18:00";"141";"103,9";"86,426"
"1690905600";"01.08.2023 19:00";"114,4";"85,1";"87,705"
"1690909200";"01.08.2023 20:00";"95,6";"82,2";"88,586"
"1690912800";"01.08.2023 21:00";"90,4";"82,2";"96,142"
"1690916400";"01.08.2023 22:00";"86";"77,1";"107,731"
"1690920000";"01.08.2023 23:00";"86,9";"82,4";"110,685"
"1690923600";"02.08.2023 00:00";"105,7";"93,4";"106,383"
"1690927200";"02.08.2023 01:00";"128";"115,7";"110,078"
"1690930800";"02.08.2023 02:00";"138,9";"120";"112,036"
"1690934400";"02.08.2023 03:00";"149,8";"115,7";"117,587"
"1690938000";"02.08.2023 04:00";"140,9";"129";"125,857"
"1690941600";"02.08.2023 05:00";"133,7";"135,5";"133,216"
"1690945200";"02.08.2023 06:00";"150,8";"128,7";"131,829"
"1690948800";"02.08.2023 07:00";"157,6";"128,2";"128,671"
"1690952400";"02.08.2023 08:00";"156,7";"126,9";"121,827"
"1690956000";"02.08.2023 09:00";"165,8";"117,6";"119,681"
"1690959600";"02.08.2023 10:00";"165,4";"119";"109,458"
"1690963200";"02.08.2023 11:00";"160";"113,3";"108,795"
"1690966800";"02.08.2023 12:00";"168,2";"102,8";"110,623"
"1690970400";"02.08.2023 13:00";"163,2";"103,9";"103,922"
"1690974000";"02.08.2023 14:00";"120,8";"103,6";"86,525"
"1690977600";"02.08.2023 15:00";"104,8";"86,9";"74,068"
"1690981200";"02.08.2023 16:00";"77,3";"69,8";"72,14"
"1690984800";"02.08.2023 17:00";"61,6";"62,9";"54,19"
"1690988400";"02.08.2023 18:00";"49,8";"49,2";"55,304"
"1690992000";"02.08.2023 19:00";"42";"41,1";"50,651"
"1690995600";"02.08.2023 20:00";"33,4";"41,5";"46,704"
"1690999200";"02.08.2023 21:00";"41,5";"40,5";"43,704"
"1691002800";"02.08.2023 22:00";"40,1";"42,4";"43,546"
"1691006400";"02.08.2023 23:00";"42,7";"44,6";"49,931"
"1691010000";"03.08.2023 00:00";"48,4";"41,8";"44,988"
"1691013600";"03.08.2023 01:00";"50,4";"45,8";"47,645"
"1691017200";"03.08.2023 02:00";"55,3";"43,5";"44,734"
"1691020800";"03.08.2023 03:00";"46,2";"43,1";"49,553"
"1691024400";"03.08.2023 04:00";"43,8";"45,3";"47,568"
"1691028000";"03.08.2023 05:00";"63,6";"41,9";"51,789"
"1691031600";"03.08.2023 06:00";"79,3";"42,6";"50,022"
"1691035200";"03.08.2023 07:00";"81,1";"43,1";"54,367"
"1691038800";"03.08.2023 08:00";"75,6";"47,5";"50,97"
"1691042400";"03.08.2023 09:00";"76,8";"47,7";"47,106"
"1691046000";"03.08.2023 10:00";"83,6";"51,5";"56,065"
"1691049600";"03.08.2023 11:00";"89,2";"64,7";"63,583"
"1691053200";"03.08.2023 12:00";"98,6";"71,3";"67,832"
"1691056800";"03.08.2023 13:00";"92,7";"76";"78,35"
"1691060400";"03.08.2023 14:00";"121,8";"83,3";"90,1"
"1691064000";"03.08.2023 15:00";"105";"94,5";"103,8"
"1691067600";"03.08.2023 16:00";"115,2";"105,5";"124,408"
"1691071200";"03.08.2023 17:00";"120,2";"103,1";"151,765"
"1691074800";"03.08.2023 18:00";"109,1";"101,4";"142,131"
"1691078400";"03.08.2023 19:00";"104";"107,5";"134,508"
"1691082000";"03.08.2023 20:00";"137,6";"95,3";"115,239"
"1691085600";"03.08.2023 21:00";"125,7";"106,6";"116,876"
"1691089200";"03.08.2023 22:00";"108,3";"120,7";"109,295"
"1691092800";"03.08.2023 23:00";"101,4";"108,4";"107,175"
"1691096400";"04.08.2023 00:00";"105,6";"98,6";"120,794"
"1691100000";"04.08.2023 01:00";"116,8";"110,6";"123,152"
"1691103600";"04.08.2023 02:00";"123,6";"113,4";"129,735"
"1691107200";"04.08.2023 03:00";"112";"116,3";"127,747"
"1691110800";"04.08.2023 04:00";"106,5";"119,8";"132,509"
"1691114400";"04.08.2023 05:00";"112,1";"124,5";"129,579"
"1691118000";"04.08.2023 06:00";"112,8";"138,3";"131,553"
"1691121600";"04.08.2023 07:00";"106,4";"147,1";"132,011"
"1691125200";"04.08.2023 08:00";"118,6";"159,2";"131,527"
"1691128800";"04.08.2023 09:00";"132";"169,1";"142,108"
"1691132400";"04.08.2023 10:00";"143,6";"169";"142,089"
"1691136000";"04.08.2023 11:00";"157,3";"185,1";"162,451"
"1691139600";"04.08.2023 12:00";"210,2";"182,3";"180,968"
"1691143200";"04.08.2023 13:00";"229,3";"158,4";"181,429"
"1691146800";"04.08.2023 14:00";"239,4";"176,6";"184,339"
"1691150400";"04.08.2023 15:00";"237,4";"199,3";"192,961"
"1691154000";"04.08.2023 16:00";"239,1";"200,3";"196,553"
"1691157600";"04.08.2023 17:00";"234,7";"209,5";"189,162"
"1691161200";"04.08.2023 18:00";"223,1";"194,4";"179,385"
"1691164800";"04.08.2023 19:00";"207,1";"192,4";"170,952"
"1691168400";"04.08.2023 20:00";"208";"167,6";"154,282"
"1691172000";"04.08.2023 21:00";"184,5";"171,6";"149,998"
"1691175600";"04.08.2023 22:00";"175,3";"160,1";"150,443"
"1691179200";"04.08.2023 23:00";"167,5";"149,1";"143,323"
"1691182800";"05.08.2023 00:00";"153,2";"142,4";"134,266"
"1691186400";"05.08.2023 01:00";"153,7";"125,2";"128,584"
"1691190000";"05.08.2023 02:00";"134,9";"116,6";"116,161"
"1691193600";"05.08.2023 03:00";"115,1";"102,5";"114,981"
"1691197200";"05.08.2023 04:00";"97,2";"92,3";"103,412"
"1691200800";"05.08.2023 05:00";"77,6";"82";"90,875"
"1691204400";"05.08.2023 06:00";"74,5";"64,5";"67,63"
"1691208000";"05.08.2023 07:00";"76,9";"57,9";"65,868"
"1691211600";"05.08.2023 08:00";"76,5";"59,7";"53,038"
"1691215200";"05.08.2023 09:00";"81,8";"58,1";"45,879"
"1691218800";"05.08.2023 10:00";"82,5";"59,5";"43,208"
"1691222400";"05.08.2023 11:00";"83,8";"58,3";"43,027"
"1691226000";"05.08.2023 12:00";"82,1";"55,2";"47,132"
"1691229600";"05.08.2023 13:00";"78,6";"46,2";"47,318"
"1691233200";"05.08.2023 14:00";"67,7";"43,8";"38,337"
"1691236800";"05.08.2023 15:00";"59";"31,7";"38,098"
"1691240400";"05.08.2023 16:00";"39,2";"23,7";"25,823"
"1691244000";"05.08.2023 17:00";"26,6";"14,3";"15,829"
"1691247600";"05.08.2023 18:00";"15,6";"9,3";"11,847"
"1691251200";"05.08.2023 19:00";"8,3";"5,7";"8,645"
"1691254800";"05.08.2023 20:00";"3,2";"3,8";"8,61"
"1691258400";"05.08.2023 21:00";"2,3";"2,8";"9,327"
"1691262000";"05.08.2023 22:00";"3,1";"2,8";"7,229"
"1691265600";"05.08.2023 23:00";"6,5";"4,5";"8,843"
"1691269200";"06.08.2023 00:00";"11,4";"11,8";"6,727"
"1691272800";"06.08.2023 01:00";"22,7";"13,9";"10,199"
"1691276400";"06.08.2023 02:00";"27";"15";"14,749"
"1691280000";"06.08.2023 03:00";"37,9";"21,1";"22,228"
"1691283600";"06.08.2023 04:00";"29";"27,5";"24,931"
"1691287200";"06.08.2023 05:00";"38,9";"34,8";"27,082"
"1691290800";"06.08.2023 06:00";"39,8";"39,2";"32,088"
"1691294400";"06.08.2023 07:00";"48,1";"38,5";"48,375"
"1691298000";"06.08.2023 08:00";"46,7";"45,5";"46,839"
"1691301600";"06.08.2023 09:00";"54,8";"46,2";"52,698"
"1691305200";"06.08.2023 10:00";"74,5";"51,4";"70,474"
"1691308800";"06.08.2023 11:00";"76,2";"69,4";"87,702"
"1691312400";"06.08.2023 12:00";"97,1";"80";"86,645"
