"UTC";"Period";"Wind parks production";"Wind parks production forecast - BRPs";"Wind parks production forecast - system operator"
"1696111200";"01.10.2023 01:00";"146,6";"138,1";"184,569"
"1696114800";"01.10.2023 02:00";"150,4";"153,2";"173,188"
"1696118400";"01.10.2023 03:00";"133,7";"136,9";"160,381"
"1696122000";"01.10.2023 04:00";"145,2";"131,9";"162,586"
"1696125600";"01.10.2023 05:00";"147";"132";"149,335"
"1696129200";"01.10.2023 06:00";"162,5";"122,9";"146,652"
"1696132800";"01.10.2023 07:00";"156,6";"136,8";"149,277"
"1696136400";"01.10.2023 08:00";"153,6";"139,3";"157,624"
"1696140000";"01.10.2023 09:00";"174,6";"139,5";"160,052"
"1696143600";"01.10.2023 10:00";"189,4";"147,1";"172,211"
"1696147200";"01.10.2023 11:00";"193,4";"165,7";"180,982"
"1696150800";"01.10.2023 12:00";"205,1";"156,6";"178,112"
"1696154400";"01.10.2023 13:00";"155,5";"146,4";"184,18"
"1696158000";"01.10.2023 14:00";"146,8";"120,7";"187,854"
"1696161600";"01.10.2023 15:00";"141,6";"114,1";"189,071"
"1696165200";"01.10.2023 16:00";"200,3";"147,9";"184,406"
"1696168800";"01.10.2023 17:00";"185,4";"153,1";"180,439"
"1696172400";"01.10.2023 18:00";"176,4";"149,4";"170,707"
"1696176000";"01.10.2023 19:00";"164,8";"134,7";"158,609"
"1696179600";"01.10.2023 20:00";"149";"126,8";"150,927"
"1696183200";"01.10.2023 21:00";"122,8";"126,7";"128,921"
"1696186800";"01.10.2023 22:00";"97";"108";"113,241"
"1696190400";"01.10.2023 23:00";"85,6";"93,8";"97,114"
"1696194000";"02.10.2023 00:00";"75,5";"79,8";"94,632"
